#,Name,Type 1;Type 2,HP,Attack,Defense,Generation
1,Bulbasaur,Grass;Poison,45,49,49,1
435,Skuntank,Poison;Dark,103,93,67,4
436,Bronzor,Steel;Psychic,57,24,86,4
224,Octillery,Water;,75,105,75,2
153,Bayleef,Grass;,60,62,80,2
467,Magmortar,Fire;,75,95,67,4
437,Bronzong,Steel;Psychic,67,89,116,4
438,Bonsly,Rock;,50,80,95,4
439,Mime Jr.,Psychic;Fairy,20,25,45,4
440,Happiny,Normal;,100,5,5,4
441,Chatot,Normal;Flying,76,65,45,4
442,Spiritomb,Ghost;Dark,50,92,108,4
443,Gible,Dragon;Ground,58,70,45,4
444,Gabite,Dragon;Ground,68,90,65,4
351,Castform,Normal;,70,70,70,3
445,Garchomp,Dragon;Ground,108,130,95,4
203,Girafarig,Normal;Psychic,70,80,65,2
473,Mamoswine,Ice;Ground,110,130,80,4
446,Munchlax,Normal;,135,85,40,4
160,Feraligatr,Water;,85,105,100,2
253,Grovyle,Grass;,50,65,45,3
447,Riolu,Fighting;,40,70,40,4
448,Lucario,Fighting;Steel,70,110,70,4
357,Tropius,Grass;Flying,99,68,83,3
449,Hippopotas,Ground;,68,72,78,4
467,Magmortar,Fire;,75,95,67,4
266,Silcoon,Bug;,50,35,55,3
450,Hippowdon,Ground;,108,112,118,4
451,Skorupi,Poison;Bug,40,50,90,4
452,Drapion,Poison;Dark,70,90,110,4
453,Croagunk,Poison;Fighting,48,61,40,4
454,Toxicroak,Poison;Fighting,83,106,65,4
111,Rhyhorn,Ground;Rock,80,85,95,1
455,Carnivine,Grass;,74,100,72,4
456,Finneon,Water;,49,49,56,4
392,Infernape,Fire;Fighting,76,104,71,4
457,Lumineon,Water;,69,69,76,4
458,Mantyke,Water;Flying,45,20,50,4
459,Snover,Grass;Ice,60,62,50,4
460,Abomasnow,Grass;Ice,90,92,75,4
363,Spheal,Ice;Water,70,40,50,3
461,Weavile,Dark;Ice,70,120,65,4
462,Magnezone,Electric;Steel,70,70,115,4
463,Lickilicky,Normal;,110,85,95,4
464,Rhyperior,Ground;Rock,115,140,130,4
465,Tangrowth,Grass;,100,100,125,4
466,Electivire,Electric;,75,123,67,4
467,Magmortar,Fire;,75,95,67,4
468,Togekiss,Fairy;Flying,85,50,95,4
469,Yanmega,Bug;Flying,86,76,86,4
470,Leafeon,Grass;,65,110,130,4
471,Glaceon,Ice;,65,60,110,4
472,Gliscor,Ground;Flying,75,95,125,4
473,Mamoswine,Ice;Ground,110,130,80,4
96,Drowzee,Psychic;,60,48,45,1
474,Porygon-Z,Normal;,85,80,70,4
604,Eelektross,Electric;,85,115,80,5
475,Gallade,Psychic;Fighting,68,125,65,4
170,Chinchou,Water;Electric,75,38,38,2
386,DeoxysDefense Forme,Psychic;,50,70,160,3
476,Probopass,Rock;Steel,60,55,145,4
477,Dusknoir,Ghost;,45,100,135,4
478,Froslass,Ice;Ghost,70,80,70,4
479,Rotom,Electric;Ghost,50,50,77,4
480,Uxie,Psychic;,75,75,130,4
481,Mesprit,Psychic;,80,105,105,4
482,Azelf,Psychic;,75,125,70,4
483,Dialga,Steel;Dragon,100,120,120,4
484,Palkia,Water;Dragon,90,120,100,4
485,Heatran,Fire;Steel,91,90,106,4
486,Regigigas,Normal;,110,160,110,4
487,GiratinaAltered Forme,Ghost;Dragon,150,100,120,4
139,Omastar,Rock;Water,70,60,125,1
570,Zorua,Dark;,40,65,40,5
488,Cresselia,Psychic;,120,70,120,4
489,Phione,Water;,80,80,80,4
490,Manaphy,Water;,100,100,100,4
436,Bronzor,Steel;Psychic,57,24,86,4
491,Darkrai,Dark;,70,90,90,4
492,ShayminLand Forme,Grass;,100,100,100,4
493,Arceus,Normal;,120,120,120,4
494,Victini,Psychic;Fire,100,100,100,5
495,Snivy,Grass;,45,45,55,5
496,Servine,Grass;,60,60,75,5
497,Serperior,Grass;,75,75,95,5
498,Tepig,Fire;,65,63,45,5
499,Pignite,Fire;Fighting,90,93,55,5
500,Emboar,Fire;Fighting,110,123,65,5
74,Geodude,Rock;Ground,40,80,100,1
501,Oshawott,Water;,55,55,45,5
502,Dewott,Water;,75,75,60,5
503,Samurott,Water;,95,100,85,5
504,Patrat,Normal;,45,55,39,5
505,Watchog,Normal;,60,85,69,5
121,Starmie,Water;Psychic,60,75,85,1
506,Lillipup,Normal;,45,60,45,5
507,Herdier,Normal;,65,80,65,5
508,Stoutland,Normal;,85,110,90,5
509,Purrloin,Dark;,41,50,37,5
510,Liepard,Dark;,64,88,50,5
511,Pansage,Grass;,50,53,48,5
512,Simisage,Grass;,75,98,63,5
513,Pansear,Fire;,50,53,48,5
514,Simisear,Fire;,75,98,63,5
515,Panpour,Water;,50,53,48,5
516,Simipour,Water;,75,98,63,5
517,Munna,Psychic;,76,25,45,5
518,Musharna,Psychic;,116,55,85,5
519,Pidove,Normal;Flying,50,55,50,5
57,Primeape,Fighting;,65,105,60,1
520,Tranquill,Normal;Flying,62,77,62,5
521,Unfezant,Normal;Flying,80,115,80,5
522,Blitzle,Electric;,45,60,32,5
523,Zebstrika,Electric;,75,100,63,5
524,Roggenrola,Rock;,55,75,85,5
525,Boldore,Rock;,70,105,105,5
526,Gigalith,Rock;,85,135,130,5
527,Woobat,Psychic;Flying,55,45,43,5
528,Swoobat,Psychic;Flying,67,57,55,5
529,Drilbur,Ground;,60,85,40,5
530,Excadrill,Ground;Steel,110,135,60,5
383,Groudon,Ground;,100,150,140,3
531,Audino,Normal;,103,60,86,5
532,Timburr,Fighting;,75,80,55,5
533,Gurdurr,Fighting;,85,105,85,5
534,Conkeldurr,Fighting;,105,140,95,5
535,Tympole,Water;,50,50,40,5
558,Crustle,Bug;Rock,70,95,125,5
253,Grovyle,Grass;,50,65,45,3
536,Palpitoad,Water;Ground,75,65,55,5
537,Seismitoad,Water;Ground,105,95,75,5
538,Throh,Fighting;,120,100,85,5
539,Sawk,Fighting;,75,125,75,5
540,Sewaddle,Bug;Grass,45,53,70,5
541,Swadloon,Bug;Grass,55,63,90,5
542,Leavanny,Bug;Grass,75,103,80,5
543,Venipede,Bug;Poison,30,45,59,5
544,Whirlipede,Bug;Poison,40,55,99,5
545,Scolipede,Bug;Poison,60,100,89,5
546,Cottonee,Grass;Fairy,40,27,60,5
547,Whimsicott,Grass;Fairy,60,67,85,5
548,Petilil,Grass;,45,35,50,5
581,Swanna,Water;Flying,75,87,63,5
549,Lilligant,Grass;,70,60,75,5
464,Rhyperior,Ground;Rock,115,140,130,4
550,Basculin,Water;,70,92,65,5
551,Sandile,Ground;Dark,50,72,35,5
552,Krokorok,Ground;Dark,60,82,45,5
553,Krookodile,Ground;Dark,95,117,80,5
554,Darumaka,Fire;,70,90,45,5
474,Porygon-Z,Normal;,85,80,70,4
197,Umbreon,Dark;,95,65,110,2
555,DarmanitanZen Mode,Fire;Psychic,105,30,105,5
556,Maractus,Grass;,75,86,67,5
557,Dwebble,Bug;Rock,50,65,85,5
558,Crustle,Bug;Rock,70,95,125,5
559,Scraggy,Dark;Fighting,50,75,70,5
560,Scrafty,Dark;Fighting,65,90,115,5
561,Sigilyph,Psychic;Flying,72,58,80,5
562,Yamask,Ghost;,38,30,85,5
563,Cofagrigus,Ghost;,58,50,145,5
564,Tirtouga,Water;Rock,54,78,103,5
565,Carracosta,Water;Rock,74,108,133,5
566,Archen,Rock;Flying,55,112,45,5
567,Archeops,Rock;Flying,75,140,65,5
568,Trubbish,Poison;,50,50,62,5
569,Garbodor,Poison;,80,95,82,5
274,Nuzleaf,Grass;Dark,70,70,40,3
570,Zorua,Dark;,40,65,40,5
571,Zoroark,Dark;,60,105,60,5
572,Minccino,Normal;,55,50,40,5
573,Cinccino,Normal;,75,95,60,5
574,Gothita,Psychic;,45,30,50,5
575,Gothorita,Psychic;,60,45,70,5
576,Gothitelle,Psychic;,70,55,95,5
577,Solosis,Psychic;,45,30,40,5
578,Duosion,Psychic;,65,40,50,5
579,Reuniclus,Psychic;,110,65,75,5
148,Dragonair,Dragon;,61,84,65,1
580,Ducklett,Water;Flying,62,44,50,5
581,Swanna,Water;Flying,75,87,63,5
582,Vanillite,Ice;,36,50,50,5
583,Vanillish,Ice;,51,65,65,5
584,Vanilluxe,Ice;,71,95,85,5
585,Deerling,Normal;Grass,60,60,50,5
586,Sawsbuck,Normal;Grass,80,100,70,5
89,Muk,Poison;,105,105,75,1
587,Emolga,Electric;Flying,55,75,60,5
588,Karrablast,Bug;,50,75,45,5
589,Escavalier,Bug;Steel,70,135,105,5
590,Foongus,Grass;Poison,69,55,45,5
591,Amoonguss,Grass;Poison,114,85,70,5
592,Frillish,Water;Ghost,55,40,50,5
593,Jellicent,Water;Ghost,100,60,70,5
594,Alomomola,Water;,165,75,80,5
595,Joltik,Bug;Electric,50,47,50,5
596,Galvantula,Bug;Electric,70,77,60,5
597,Ferroseed,Grass;Steel,44,50,91,5
598,Ferrothorn,Grass;Steel,74,94,131,5
599,Klink,Steel;,40,55,70,5
600,Klang,Steel;,60,80,95,5
601,Klinklang,Steel;,60,100,115,5
602,Tynamo,Electric;,35,55,40,5
603,Eelektrik,Electric;,65,85,70,5
604,Eelektross,Electric;,85,115,80,5
605,Elgyem,Psychic;,55,55,55,5
606,Beheeyem,Psychic;,75,75,75,5
607,Litwick,Ghost;Fire,50,30,55,5
608,Lampent,Ghost;Fire,60,40,60,5
537,Seismitoad,Water;Ground,105,95,75,5
609,Chandelure,Ghost;Fire,60,55,90,5
610,Axew,Dragon;,46,87,60,5
611,Fraxure,Dragon;,66,117,70,5
612,Haxorus,Dragon;,76,147,90,5
613,Cubchoo,Ice;,55,70,40,5
614,Beartic,Ice;,95,110,80,5
615,Cryogonal,Ice;,70,50,30,5
616,Shelmet,Bug;,50,40,85,5
617,Accelgor,Bug;,80,70,40,5
618,Stunfisk,Ground;Electric,109,66,84,5
619,Mienfoo,Fighting;,45,85,50,5
620,Mienshao,Fighting;,65,125,60,5
621,Druddigon,Dragon;,77,120,90,5
622,Golett,Ground;Ghost,59,74,50,5
623,Golurk,Ground;Ghost,89,124,80,5
624,Pawniard,Dark;Steel,45,85,70,5
223,Remoraid,Water;,35,65,35,2
625,Bisharp,Dark;Steel,65,125,100,5
626,Bouffalant,Normal;,95,110,95,5
627,Rufflet,Normal;Flying,70,83,50,5
628,Braviary,Normal;Flying,100,123,75,5
629,Vullaby,Dark;Flying,70,55,75,5
630,Mandibuzz,Dark;Flying,110,65,105,5
631,Heatmor,Fire;,85,97,66,5
632,Durant,Bug;Steel,58,109,112,5
633,Deino,Dark;Dragon,52,65,50,5
634,Zweilous,Dark;Dragon,72,85,70,5
635,Hydreigon,Dark;Dragon,92,105,90,5
636,Larvesta,Bug;Fire,55,85,55,5
637,Volcarona,Bug;Fire,85,60,65,5
638,Cobalion,Steel;Fighting,91,90,129,5
639,Terrakion,Rock;Fighting,91,129,90,5
640,Virizion,Grass;Fighting,91,90,72,5
641,TornadusIncarnate Forme,Flying;,79,115,70,5
642,ThundurusIncarnate Forme,Electric;Flying,79,115,70,5
643,Reshiram,Dragon;Fire,100,120,100,5
644,Zekrom,Dragon;Electric,100,150,120,5
645,LandorusIncarnate Forme,Ground;Flying,89,125,90,5
646,Kyurem,Dragon;Ice,125,130,90,5
647,KeldeoOrdinary Forme,Water;Fighting,91,72,90,5
648,MeloettaAria Forme,Normal;Psychic,100,77,77,5
649,Genesect,Bug;Steel,71,120,95,5
650,Chespin,Grass;,56,61,65,6
651,Quilladin,Grass;,61,78,95,6
652,Chesnaught,Grass;Fighting,88,107,122,6
653,Fennekin,Fire;,40,45,40,6
654,Braixen,Fire;,59,59,58,6
655,Delphox,Fire;Psychic,75,69,72,6
656,Froakie,Water;,41,56,40,6
657,Frogadier,Water;,54,63,52,6
658,Greninja,Water;Dark,72,95,67,6
659,Bunnelby,Normal;,38,36,38,6
660,Diggersby,Normal;Ground,85,56,77,6
661,Fletchling,Normal;Flying,45,50,43,6
662,Fletchinder,Fire;Flying,62,73,55,6
663,Talonflame,Fire;Flying,78,81,71,6
664,Scatterbug,Bug;,38,35,40,6
665,Spewpa,Bug;,45,22,60,6
666,Vivillon,Bug;Flying,80,52,50,6
667,Litleo,Fire;Normal,62,50,58,6
668,Pyroar,Fire;Normal,86,68,72,6
669,Flabébé,Fairy;,44,38,39,6
670,Floette,Fairy;,54,45,47,6
671,Florges,Fairy;,78,65,68,6
672,Skiddo,Grass;,66,65,48,6
673,Gogoat,Grass;,123,100,62,6
674,Pancham,Fighting;,67,82,62,6
675,Pangoro,Fighting;Dark,95,124,78,6
676,Furfrou,Normal;,75,80,60,6
677,Espurr,Psychic;,62,48,54,6
678,MeowsticMale,Psychic;,74,48,76,6
679,Honedge,Steel;Ghost,45,80,100,6
680,Doublade,Steel;Ghost,59,110,150,6
681,AegislashBlade Forme,Steel;Ghost,60,150,50,6
682,Spritzee,Fairy;,78,52,60,6
683,Aromatisse,Fairy;,101,72,72,6
684,Swirlix,Fairy;,62,48,66,6
685,Slurpuff,Fairy;,82,80,86,6
686,Inkay,Dark;Psychic,53,54,53,6
687,Malamar,Dark;Psychic,86,92,88,6
688,Binacle,Rock;Water,42,52,67,6
689,Barbaracle,Rock;Water,72,105,115,6
690,Skrelp,Poison;Water,50,60,60,6
691,Dragalge,Poison;Dragon,65,75,90,6
692,Clauncher,Water;,50,53,62,6
693,Clawitzer,Water;,71,73,88,6
694,Helioptile,Electric;Normal,44,38,33,6
695,Heliolisk,Electric;Normal,62,55,52,6
696,Tyrunt,Rock;Dragon,58,89,77,6
697,Tyrantrum,Rock;Dragon,82,121,119,6
698,Amaura,Rock;Ice,77,59,50,6
699,Aurorus,Rock;Ice,123,77,72,6
700,Sylveon,Fairy;,95,65,65,6
701,Hawlucha,Fighting;Flying,78,92,75,6
702,Dedenne,Electric;Fairy,67,58,57,6
703,Carbink,Rock;Fairy,50,50,150,6
704,Goomy,Dragon;,45,50,35,6
705,Sliggoo,Dragon;,68,75,53,6
706,Goodra,Dragon;,90,100,70,6
707,Klefki,Steel;Fairy,57,80,91,6
708,Phantump,Ghost;Grass,43,70,48,6
709,Trevenant,Ghost;Grass,85,110,76,6
710,PumpkabooAverage Size,Ghost;Grass,49,66,70,6
711,GourgeistAverage Size,Ghost;Grass,65,90,122,6
712,Bergmite,Ice;,55,69,85,6
713,Avalugg,Ice;,95,117,184,6
714,Noibat,Flying;Dragon,40,30,35,6
715,Noivern,Flying;Dragon,85,70,80,6
716,Xerneas,Fairy;,126,131,95,6
717,Yveltal,Dark;Flying,126,131,95,6
718,Zygarde50% Forme,Dragon;Ground,108,100,121,6
719,Diancie,Rock;Fairy,50,100,150,6
720,HoopaHoopa Confined,Psychic;Ghost,80,110,60,6
721,Volcanion,Fire;Water,80,110,120,6
